result shown in seconds
totalTime: 18.9182205
joinFiles: 1.1538663
parsingDonationsFile: 12.4776825
parsingDonorsFile: 5.2866705
--------- results ---------
,1.7681222739999976E7
Reserve,2155.0499999999997
Oak Run,1071.0
Shelburne Falls,2473.6
Penney Farms,25.0
Jerry City,30.0
Indore,289.15
Hurt,270.0
Rhodesdale,105.0
Sebec,922.63
Pine Ridge,316.0
Chico,160599.57000000007
Middle Falls,25.0
Glenburn,295.68
Clifton Forge,1101.33
Pahoa,2567.73
Oriskany Falls,782.04
Sassamansville,25.0
Revillo,195.0
Half Moon Bay,32530.749999999996
Port Saint Joe,5003.03
Compton,32043.12
Dade City,16171.059999999998
Haw River,3270.2400000000002
College Park,26030.659999999996
Buffalo Grove,102197.02
Port Allen,8408.279999999999
Canastota,5778.7300000000005
Quapaw,2357.33
Taylorstown,50.0
Chancellor,3249.11
Runnemede,3636.5800000000004
North Grafton,7709.68
Oquossoc,25.0
Grand Ridge,485.0
Sundown,99.0
Elko,9124.109999999999
Canal Winchester,17182.37
Cottonwood Falls,2085.93
Foristell,3107.06
Fort Cobb,1672.16
Wooldridge,185.0
Parlin,6457.52
Pontotoc,9402.369999999999
New Cambria,25.0
Milford,179596.72000000012
Milmay,460.0
Saint Cloud,79271.59000000001
Celeste,546.46
Sledge,99.0
Flintville,250.0
Lincroft,3037.07
Fruithurst,1074.55
Kremlin,1012.93
Mouthcard,25.0
Jensen Beach,10041.4
East Hampton,17158.239999999998
Palisade,1172.24
Ada,50060.14
Hickory Flat,174.0
Valley Cottage,7359.259999999998
Maribel,145.0
Sylmar,78065.54000000001
Needville,2455.4
Seward,10727.719999999998
Newton Center,103980.60000000002
Elmo,1265.0
Rocky Hill,33858.75
Poynor,50.0
Winneconne,3078.38
Foley,10019.65
Emmitsburg,4714.98
Wheatland,26838.46
Dike,565.86
Hayfield,693.79
Jewell,1085.9499999999998
Lavalette,1908.31
Sagamore Beach,5360.59
Phoenixville,56842.86
Wilkinson,3522.29
Libertyville,81180.60999999999
Elma,3866.2099999999996
Enola,4730.34
Kwethluk,55.0
Capistrano Beach,10323.27
Chalmette,14834.57
Saint Bernard,659.0
Nesbit,18567.500000000004
Hercules,30695.550000000003
Clarinda,1777.58
Hyampom,150.0
Kenvil,664.91
Sharpsville,5026.9800000000005
New York,8236387.860000003
Middle Island,4610.749999999999
Crewe,1122.5
Tampico,35.0
Charter Oak,248.51999999999998
Bridgton,17288.190000000002
Sherburn,411.0
Mascoutah,10049.86
Pipersville,4242.1900000000005
Socorro,2815.1499999999996
